2007,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,23年,1月,,"18,045,215","4,470,475","4,202,366","353,656","3,360,412","2,560,981","3,097,325","1,561,266","1,536,059","142,112","181,395","5,381","3,836","1,543,214","1,203,641","339,573","6,877,492",Jan. 2011,25
,26,,,2,,"17,419,749","4,367,900","4,052,275","243,510","2,929,098","2,702,857","3,124,109","1,631,446","1,492,663","143,284","261,870","5,625","5,012","1,261,874","942,886","318,988","6,876,345",Feb.,26
,27,,,3,,"16,858,149","4,755,087","3,689,444","466,303","2,437,448","2,739,638","2,770,229","1,438,958","1,331,271","165,483","289,436","5,863","5,077","1,204,534","971,051","233,483","7,019,215",Mar.,27
,,,,,,,,,,,,,,,,,,,,,,,,
,,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene.,,,,,,,,,
,,Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,1,平成,19年,,,"219,209,760","59,805,380","49,309,650","5,829,121","23,006,328","35,937,542","45,321,739","21,676,033","23,645,706","1,944,865","3,384,361","78,382","60,334","16,307,572","10,593,967","5,713,605","71,452,956",C.Y. 2007,1
,2,,20,,,"207,670,263","57,246,818","45,329,589","5,760,721","20,972,251","34,246,289","44,114,595","19,093,641","25,020,954","1,888,509","2,835,708","72,048","57,948","16,245,086","11,086,148","5,158,938","72,335,275",C.Y. 2008,2
,3,,21,,,"193,396,001","57,447,164","44,485,185","5,336,699","20,104,238","32,246,936","33,775,779","16,207,323","17,568,456","1,586,824","2,801,561","54,529","47,772","15,081,285","10,017,926","5,063,359","68,094,798",C.Y. 2009,3
,4,,22,,,##########,##########,##########,"5,432,229",##########,##########,##########,##########,##########,"1,756,400","2,752,421","64,927","57,039","14,643,872","10,271,967","4,371,905","75,213,531",C.Y. 2010,4
,5,,23,,,"193,055,681","56,864,148","44,646,102","4,306,034","19,375,566","32,657,646","35,206,185","14,626,622","20,579,563","1,710,348","2,492,832","67,235","53,669","15,008,084","10,550,764","4,457,320","76,766,759",C.Y. 2011,5
,,,,,,,,,,,,,,,,,,,,,,,,
,6,平成,22年度,,,"196,018,814","58,159,013","46,698,554","5,152,899","20,348,988","32,891,253","32,768,107","15,425,000","17,343,107","1,762,507","2,625,459","66,546","58,708","14,389,285","10,257,238","4,132,047","73,761,126",F.Y. 2010,6
,7,,23,,,"196,055,036","57,213,802","43,728,337","4,204,424","19,619,075","32,866,190","38,423,208","14,679,965","23,743,243","1,694,714","2,482,088","65,939","50,342","15,878,968","11,045,407","4,833,561","80,970,352",F.Y. 2011,7
,,,,,,,,,,,,,,,,,,,,,,,,
,8,平成,23年,1～ 3月,,"52,395,558","13,555,088","11,975,392","1,062,810","8,745,190","8,032,411","9,024,667","4,651,979","4,372,688","450,891","729,883","16,869","13,925","3,893,496","3,042,366","851,130","18,879,582",Q1 2011,8
,9,,,4～ 6,,"42,032,206","13,448,528","10,133,901","1,044,566","2,605,124","7,707,763","7,092,324","3,035,959","4,056,365","408,040","470,129","16,700","14,519","3,728,199","2,572,708","1,155,491","17,884,035",Q2,9
,10,,,7～ 9,,"46,935,936","15,241,188","11,538,113","1,153,816","1,969,524","8,253,784","8,779,511","3,033,340","5,746,171","415,638","557,237","17,006","12,251","3,417,102","2,096,431","1,320,671","20,169,850",Q3,10
,11,,,10～12,,"51,691,981","14,619,344","10,998,696","1,044,842","6,055,728","8,663,688","10,309,683","3,905,344","6,404,339","435,779","735,583","16,660","12,974","3,969,287","2,839,259","1,130,028","19,833,292",Q4,11
,12,平成,24年,1～ 3月,,"55,394,913","13,904,742","11,057,627","961,200","8,988,699","8,240,955","12,241,690","4,705,322","7,536,368","435,257","719,139","15,573","10,598","4,764,380","3,537,009","1,227,371","23,083,175",Q1 2012,12
,,,,,,,,,,,,,,,,,,,,,,,,
,13,平成,23年,1月,,"18,073,523","4,470,843","4,227,598","353,656","3,362,004","2,560,880","3,098,542","1,561,567","1,536,975","142,112","181,395","5,381","3,836","1,423,869","1,124,409","299,460","6,228,465",Jan. 2011,13
,14,,,2,,"17,432,285","4,368,730","4,058,210","243,510","2,931,583","2,704,814","3,125,438","1,631,495","1,493,943","143,295","261,870","5,625","5,012","1,262,614","943,626","318,988","6,290,415",Feb.,14
,15,,,3,,"16,889,750","4,715,515","3,689,584","465,644","2,451,603","2,766,717","2,800,687","1,458,917","1,341,770","165,484","286,618","5,863","5,077","1,207,013","974,331","232,682","6,360,702",Mar.,15
,16,,,4,,"14,320,467","4,303,641","3,250,348","347,020","1,374,656","2,586,582","2,458,220","1,184,167","1,274,053","137,033","147,136","5,783","5,654","1,444,168","1,060,809","383,359","5,892,863",Apr.,16
,17,,,5,,"13,727,302","4,585,343","3,508,227","252,189","692,580","2,417,235","2,271,728","940,388","1,331,340","121,476","150,148","5,042","3,425","1,239,970","842,165","397,805","5,911,077",May,17
,18,,,6,,"13,984,437","4,559,544","3,375,326","445,357","537,888","2,703,946","2,362,376","911,404","1,450,972","149,531","172,845","5,875","5,440","1,044,061","669,734","374,327","6,080,095",Jun.,18
,19,,,7,,"15,538,783","5,070,902","3,838,239","347,936","611,361","2,786,515","2,883,830","1,148,968","1,734,862","135,832","185,642","5,771","4,520","1,162,187","698,314","463,873","6,165,236",Jul.,19
,20,,,8,,"16,383,603","5,446,556","4,125,196","469,088","554,904","2,725,574","3,062,285","963,933","2,098,352","135,398","173,746","5,313","3,722","1,175,988","728,745","447,243","7,423,172",Aug.,20
,21,,,9,,"15,013,550","4,723,730","3,574,678","336,792","803,259","2,741,695","2,833,396","920,439","1,912,957","144,408","197,849","5,922","4,009","1,078,927","669,372","409,555","6,581,442",Sep.,21
,22,,,10,,"15,807,298","4,707,128","3,505,861","433,123","1,187,149","2,866,062","3,107,975","1,121,764","1,986,211","143,865","240,718","5,767","5,128","1,173,193","779,943","393,250","5,967,073",Oct.,22
,23,,,11,,"16,245,934","4,630,630","3,677,630","294,782","1,635,606","2,800,833","3,206,453","1,221,222","1,985,231","143,831","262,327","5,570","3,927","1,238,207","871,990","366,217","6,786,348",Nov.,23
,24,,,12,,"19,638,749","5,281,586","3,815,205","316,937","3,232,973","2,996,793","3,995,255","1,562,358","2,432,897","148,083","232,538","5,323","3,919","1,557,887","1,187,326","370,561","7,079,871",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,24年,1月,,"18,406,446","4,510,546","3,911,510","292,362","3,243,286","2,470,827","3,977,915","1,543,754","2,434,161","134,235","179,645","4,931","3,181","1,665,313","1,231,172","434,141","7,724,181",Jan. 2012,25
,26,,,2,,"18,701,508","4,529,180","3,545,561","286,051","3,292,801","2,807,367","4,240,548","1,683,573","2,556,975","143,756","234,825","5,294","3,527","1,490,829","1,115,689","375,140","7,592,844",Feb.,26
,27,,,3,,"18,286,959","4,865,016","3,600,556","382,787","2,452,612","2,962,761","4,023,227","1,477,995","2,545,232","157,266","304,669","5,348","3,890","1,608,238","1,190,148","418,090","7,766,150",Mar.,27
,,,,,,,,,,,,,,,,,,,,,,,,
,,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene.,,,,,,,,,
,,Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,1,平成,20年,,,"207,670,263","57,246,818","45,329,589","5,760,721","20,972,251","34,246,289","44,114,595","19,093,641","25,020,954","1,888,509","2,835,708","72,048","57,948","16,245,086","11,086,148","5,158,938","72,335,275",C.Y. 2008,1
,2,,21,,,"193,396,001","57,447,164","44,485,185","5,336,699","20,104,238","32,246,936","33,775,779","16,207,323","17,568,456","1,586,824","2,801,561","54,529","47,772","15,081,285","10,017,926","5,063,359","68,094,798",C.Y. 2009,2
,3,,22,,,"197,248,777","58,379,483","47,394,311","5,432,229","20,248,351","33,063,802","32,730,601","15,628,720","17,101,881","1,756,400","2,752,421","64,927","57,039","14,643,872","10,271,967","4,371,905","75,213,531",C.Y. 2010,3
,4,,23,,,"193,055,681","56,864,148","44,646,102","4,306,034","19,375,566","32,657,646","35,206,185","14,626,622","20,579,563","1,710,348","r 2,497,796","67,235","53,669","15,008,084","10,550,764","4,457,320","76,766,759",C.Y. 2011,4
,5,,24,,,"199,821,991","57,094,189","42,822,355","3,965,013","19,939,464","33,401,662","42,599,308","14,299,344","28,299,964","1,594,020","2,473,343","61,822","45,355","16,111,080","11,277,119","4,833,961","84,735,635",C.Y. 2012,5
,,,,,,,,,,,,,,,,,,,,,,,,
,6,平成,23年度,,,"196,043,987","57,208,799","43,718,357","4,198,824","19,622,933","32,871,728","38,423,346","14,679,936","23,743,410","1,694,714","2,488,096","65,939","50,342","15,878,972","11,045,408","4,833,564","80,970,339",F.Y. 2011,6
,7,,24,,,"197,519,545","56,447,408","43,171,929","3,964,950","18,991,302","33,442,999","41,500,957","13,759,057","27,741,900","1,527,266","2,366,543","60,452","45,411","15,846,975","11,097,697","4,749,278","84,796,578",F.Y. 2012,7
,,,,,,,,,,,,,,,,,,,,,,,,
,8,平成,24年,1～ 3月,,"55,383,864","13,899,739","11,047,647","955,600","8,992,557","8,246,493","12,241,828","4,705,293","7,536,535","435,257","720,183","15,573","10,598","4,764,384","3,537,010","1,227,374","23,083,162",Q1 2012,8
,9,,,4～ 6,,"44,355,343","13,480,072","10,038,101","930,710","2,446,492","7,890,507","9,569,461","2,959,397","6,610,064","399,399","482,286","15,737","12,998","3,707,631","2,520,646","1,186,985","20,203,087",Q2,9
,10,,,7～ 9,,"47,786,334","15,181,511","10,689,780","1,110,914","2,038,117","8,462,269","10,303,743","2,949,775","7,353,968","394,778","618,717","15,414","11,201","3,715,782","2,370,198","1,345,584","21,305,863",Q3,10
,11,,,10～12,,"52,296,450","14,532,867","11,046,827","967,789","6,462,298","8,802,393","10,484,276","3,684,879","6,799,397","364,586","652,157","15,098","10,558","3,923,283","2,849,265","1,074,018","20,143,523",Q4,11
,12,平成,25年,1～ 3月,,"53,081,418","13,252,958","11,397,221","955,537","8,044,395","8,287,830","11,143,477","4,165,006","6,978,471","368,503","613,383","14,203","10,654","4,500,279","3,357,588","1,142,691","23,144,105",Q1 2013,12
,,,,,,,,,,,,,,,,,,,,,,,,
,13,平成,24年,1月,,"18,411,898","4,505,543","3,911,510","292,362","3,248,289","2,476,317","3,977,877","1,543,755","2,434,122","134,235","180,689","4,931","3,181","1,665,313","1,231,172","434,141","7,724,171",Jan. 2012,13
,14,,,2,,"18,701,714","4,529,180","3,545,561","286,051","3,292,801","2,807,367","4,240,754","1,683,573","2,557,181","143,756","234,825","5,294","3,527","1,490,829","1,115,689","375,140","7,592,841",Feb.,14
,15,,,3,,"18,270,252","4,865,016","3,590,576","377,187","2,451,467","2,962,809","4,023,197","1,477,965","2,545,232","157,266","304,669","5,348","3,890","1,608,242","1,190,149","418,093","7,766,150",Mar.,15
,16,,,4,,"15,015,846","4,468,243","3,221,644","244,491","1,246,480","2,534,159","3,300,829","1,026,007","2,274,822","140,743","157,553","5,317","4,638","1,232,478","893,388","339,090","6,878,885",Apr.,16
,17,,,5,,"15,010,981","4,576,575","3,550,291","366,691","610,923","2,674,288","3,232,213","984,392","2,247,821","124,110","159,296","5,098","3,710","1,329,902","889,122","440,780","6,890,352",May,17
,18,,,6,,"14,328,516","4,435,254","3,266,166","319,528","589,089","2,682,060","3,036,419","948,998","2,087,421","134,546","165,437","5,322","4,650","1,145,251","738,136","407,115","6,433,850",Jun.,18
,19,,,7,,"15,797,028","4,996,759","3,540,418","350,624","659,490","2,857,947","3,391,790","1,021,148","2,370,642","124,038","209,198","5,393","3,931","1,352,601","860,059","492,542","7,063,381",Jul.,19
,20,,,8,,"16,730,311","5,434,358","3,791,051","357,959","716,309","2,873,561","3,557,073","993,895","2,563,178","135,136","205,043","5,062","3,985","1,197,241","769,865","427,376","7,298,234",Aug.,20
,21,,,9,,"15,258,995","4,750,394","3,358,311","402,331","662,318","2,730,761","3,354,880","934,732","2,420,148","135,604","204,476","4,959","3,285","1,165,940","740,274","425,666","6,944,248",Sep.,21
,22,,,10,,"15,785,213","4,769,435","3,483,541","381,657","1,062,213","2,898,537","3,189,830","974,212","2,215,618","123,996","215,214","5,233","4,205","1,176,820","811,227","365,593","6,436,398",Oct.,22
,23,,,11,,"16,571,693","4,602,041","3,643,252","270,994","2,015,878","2,810,950","3,228,578","1,207,278","2,021,300","119,818","224,357","4,993","3,529","1,217,719","856,457","361,262","6,587,878",Nov.,23
,24,,,12,,"19,939,544","5,161,391","3,920,034","315,138","3,384,207","3,092,906","4,065,868","1,503,389","2,562,479","120,772","212,586","4,872","2,824","1,528,744","1,181,581","347,163","7,119,247",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,25年,1月,,"18,606,252","4,380,914","4,026,480","292,574","3,283,475","2,542,865","4,079,944","1,469,971","2,609,973","119,670","162,288","4,581","2,973","1,580,654","1,207,712","372,942","8,023,493",Jan. 2013,25
,26,,,2,,"17,389,803","4,226,880","3,545,515","249,450","2,857,673","2,781,435","3,728,850","1,409,414","2,319,436","109,370","204,065","4,786","3,821","1,448,053","1,114,761","333,292","7,433,532",Feb.,26
,27,,,3,,"17,085,363","4,645,164","3,825,226","413,513","1,903,247","2,963,530","3,334,683","1,285,621","2,049,062","139,463","247,030","4,836","3,860","1,471,572","1,035,115","436,457","7,687,080",Mar.,27
,,,,,,,,,,,,,,,,,,,,,,,,
,,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene.,,,,,,,,,
,,Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,1,平成,21年,,,"193,396,001","57,447,164","44,485,185","5,336,699","20,104,238","32,246,936","33,775,779","16,207,323","17,568,456","1,586,824","2,801,561","54,529","47,772","15,081,285","10,017,926","5,063,359","68,094,798",C.Y. 2009,1
,2,,22,,,"197,248,777","58,379,483","47,394,311","5,432,229","20,248,351","33,063,802","32,730,601","15,628,720","17,101,881","1,756,400","2,752,421","64,927","57,039","14,643,872","10,271,967","4,371,905","75,213,531",C.Y. 2010,2
,3,,23,,,###########,"56,864,148","44,646,102","4,306,034","19,375,566","32,657,646",##########,"14,626,622",##########,"1,710,348","2,497,796","67,235","53,669","15,008,084","10,550,764","4,457,320","76,766,759",C.Y. 2011,3
,4,,24,,,###########,"57,094,189","42,822,355","3,965,013","19,939,464","33,401,662",##########,"14,299,344",##########,"1,594,020","2,473,343","61,822","45,355","16,111,080","11,277,119","4,833,961","84,735,635",C.Y. 2012,4
,5,,25,,,"193,195,970","55,234,424","45,335,920","4,874,458","18,010,194","33,753,278","35,987,696","13,428,254","22,559,442","1,539,421","2,158,899","59,997","43,981","15,232,645","10,596,121","4,636,524","84,696,195",C.Y. 2013,5
,,,,,,,,,,,,,,,,,,,,,,,,
,6,平成,24度,,,"197,770,051","56,206,607","43,171,929","3,974,412","18,884,270","33,391,348","42,141,485","13,759,092","28,382,393","1,538,065","2,366,543","60,471","45,411","15,846,975","11,097,697","4,749,278","84,796,578",F.Y. 2012,6
,7,,25,,,"193,520,014","55,418,828","45,747,778","5,052,512","17,893,887","34,079,186","35,327,823","13,437,903","21,889,920","1,530,994","2,150,598","61,636","45,984","14,927,204","10,462,178","4,465,026","83,926,657",F.Y. 2013,7
,,,,,,,,,,,,,,,,,,,,,,,,
,8,平成,25年,1～ 3月,,"52,905,487","13,012,157","11,397,221","964,999","7,937,363","8,236,179","11,357,568","4,165,041","7,192,527","379,302","613,383","14,222","10,654","4,500,279","3,357,588","1,142,691","23,144,105",Q1 2013,8
,9,,,4～ 6,,"42,772,895","13,355,338","10,441,602","1,094,921","2,489,400","8,053,987","7,337,647","2,812,474","4,525,173","354,537","446,972","15,180","10,938","3,534,533","2,385,965","1,148,568","19,182,436",Q2,9
,10,,,7～ 9,,"46,333,526","14,849,870","11,279,045","1,663,023","1,754,176","8,491,141","8,296,271","2,856,011","5,440,260","398,324","511,849","15,255","9,977","3,353,457","2,048,698","1,304,759","20,532,759",Q3,10
,11,,,10～12,,"51,184,062","14,017,059","12,218,052","1,151,515","5,829,255","8,971,971","8,996,210","3,594,728","5,401,482","407,258","586,695","15,340","12,412","3,844,376","2,803,870","1,040,506","21,836,895",Q4,11
,12,平成,26年,1～ 3月,,"53,229,531","13,196,561","11,809,079","1,143,053","7,821,056","8,562,087","10,697,695","4,174,690","6,523,005","370,875","605,082","15,861","12,657","4,194,838","3,223,645","971,193","22,374,567",Q1 2014,12
,,,,,,,,,,,,,,,,,,,,,,,,
,13,平成,25年,1月,,"18,522,963","4,287,763","4,026,480","295,732","3,238,848","2,522,369","4,151,771","1,469,971","2,681,800","123,046","162,288","4,581","2,973","1,580,654","1,207,712","372,942","8,023,493",Jan. 2013,13
,14,,,2,,"17,336,431","4,161,006","3,545,515","252,463","2,814,693","2,770,999","3,791,755","1,409,414","2,382,341","112,698","204,065","4,794","3,821","1,448,053","1,114,761","333,292","7,433,532",Feb.,14
,15,,,3,,"17,046,093","4,563,388","3,825,226","416,804","1,883,822","2,942,811","3,414,042","1,285,656","2,128,386","143,558","247,030","4,847","3,860","1,471,572","1,035,115","436,457","7,687,080",Mar.,15
,16,,,4,,"14,813,948","4,423,790","3,649,327","322,819","1,175,771","2,667,189","2,575,052","1,000,339","1,574,713","134,896","132,177","5,086","3,367","1,300,316","882,924","417,392","6,841,252",Apr.,16
,17,,,5,,"14,262,883","4,535,342","3,439,978","354,183","805,858","2,707,532","2,419,990","966,298","1,453,692","100,180","156,200","5,048","3,903","1,212,692","828,281","384,411","6,150,966",May,17
,18,,,6,,"13,696,064","4,396,206","3,352,297","417,919","507,771","2,679,266","2,342,605","845,837","1,496,768","119,461","158,595","5,046","3,668","1,021,525","674,760","346,765","6,190,218",Jun.,18
,19,,,7,,"15,804,542","5,001,523","3,787,320","538,648","570,482","2,972,369","2,934,200","992,035","1,942,165","141,415","163,025","5,285","4,188","1,212,440","746,034","466,406","7,060,807",Jul.,19
,20,,,8,,"15,849,904","5,322,014","3,845,095","530,685","521,005","2,801,769","2,829,336","885,864","1,943,472","117,714","172,044","4,823","2,708","1,126,850","678,688","448,162","7,110,153",Aug.,20
,21,,,9,,"14,679,080","4,526,333","3,646,630","593,690","662,689","2,717,003","2,532,735","978,112","1,554,623","139,195","176,780","5,147","3,081","1,014,167","623,976","390,191","6,361,799",Sep.,21
,22,,,10,,"15,289,312","4,512,745","3,787,174","422,159","1,034,031","2,979,274","2,553,929","954,865","1,599,064","139,880","174,767","5,370","4,323","1,099,704","786,199","313,505","7,175,098",Oct.,22
,23,,,11,,"16,874,757","4,571,305","4,096,114","351,892","1,933,096","2,997,058","2,925,292","1,190,706","1,734,586","126,428","201,323","4,944","3,782","1,270,327","879,471","390,856","6,883,558",Nov.,23
,24,,,12,,"19,019,993","4,933,009","4,334,764","377,464","2,862,128","2,995,639","3,516,989","1,449,157","2,067,832","140,950","210,605","5,026","4,307","1,474,345","1,138,200","336,145","7,778,239",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
,25,平成,26年,1月,,"18,163,764","4,303,852","4,347,331","374,883","2,853,791","2,620,930","3,662,977","1,349,405","2,313,572","119,382","171,211","5,017","4,816","1,414,842","1,087,799","327,043","7,562,109",Jan. 2014,25
,26,,,2,,"17,207,082","3,940,820","3,909,695","256,229","2,787,693","2,698,977","3,613,668","1,438,159","2,175,509","104,824","181,390","5,073","3,445","1,408,528","1,075,198","333,330","7,266,241",Feb.,26
,27,,,3,,"17,858,685","4,951,889","3,552,053","511,941","2,179,572","3,242,180","3,421,050","1,387,126","2,033,924","146,669","252,481","5,771","4,396","1,371,468","1,060,648","310,820","7,546,217",Mar.,27
,,,,,,,,,,,,,,,,,,,,,,,,
,,注： Ｐ・Ｐ＝プロパン・プロピレン、Ｐ・Ｂ＝プロパン・ブタン、プロピレン・ブチレン等プロパン、プロピレンを主成分とするもの。,,,,,,,,,,,,,Note : P・P is Propane・Propylene; P・B is Propane・Butane ; B・B is Butane・Butylene.,,,,,,,,,
,,Ｂ・Ｂ＝ブタン・ブチレンを主成分とするもの。,,,,,,,,,,,,,,,,,,,,,,